,premise,hypothesis,label
201,i ordered better sexual techniques advanced sexual techniques making sex fun and advanced oral sex techniques priced about 11 ,the orders i made were not being offered for free ,0
202,benchmarked by u s ,benchmark in america ,0
203,the truth ,will you tell the truth ,1
204,it sure will well good to talk to,let s talk again soon ,1
205,because like tech is known to be a good engineering school and a and m maybe is known more for computers,a and m s computer department isn t very well regarded ,2
206,the celebrity obsessed magazine surpasses itself in the post oscar issue ,the magazine is not interested in celebrities ,2
207,tommy felt his ascendancy less sure than a moment before ,tommy was getting less certain about his ascendancy ,0
208,whether you drink beer or alcohol or not a trip to dublin isn t complete without a visit to some of its pubs don t miss this experience ,if you don t drink don t bother visiting the pubs in london ,2
209,but although the 60 minutes producer is played by the star pacino grandstands but not to the point of distraction bergman s story doesn t have the same primal force ,the producer is played by harrison ford ,2
210,i never said you were a mandrake man ,i never once said or implied you were a mandrake ,0
211,down here it s been it s everybody s got colds and everything because it s cold one day and hot the next day,the colds are directly related to the temperature change ,0
212,i don t know what kind of a summer we re expecting this year i imagine it s going to be hot again,i work in the weather station so i know all about the predictions for the weather this summer ,2
213,the central section of tinos has little of interest but make your way over the hills to the pretty village of pyrgos famed for its school of marble carving ,not very many tourists visit the central section of tinos ,1
214,unless the report is restricted by law or regulation auditors should ensure that copies be made available for public inspection ,this report is most likely restricted by law or regulation and should not be ensured ,1
215,the next year he was expelled from rand as a security risk after local police caught him engaging in a lewd act in a public men s room near muscle beach ,they expelled him from rand because he commited a crime,0
216,i was to watch for an advertisement in the times ,i was anticipating an ad for cigars in the newspaper ,1
217,unsurprisingly golfing is prohibitively expensive ,golf is a cheap past time so lots of people do it ,2
218,the final reason for the teen renaissance is boomer self obsession ,there are 15 key reasons for the teen renaissance we are seeing ,1
219,uh well i figured if i had it done in the garage at the toyota dealer i would be looking at probably three or four hundred dollars,the cost at the dealer s garage is twice as much as what i paid ,1
220,part 2 confidentiality of alcohol and drug abuse patient records ,drug and alcohol rehab records are to be kept confidential,0
221,not quite as large is the papal crose commemorating pope john paul ii s visit in 1979 when more than one million people gathered to celebrate mass ,more than a million people gathered to celebrate mass when pope john paul ii visited in 1979 ,0
222,well they re so close to an undefeated undefeated season they can taste it and they wanna make history so i don t think they re gonna lack for motivation,they re close to winning the season so they won t have any issues with motivation ,0
223,trying to keep grass alive during a summer on a piece of ground that big was expensive,there was no cost in keeping the grass alive in the summer time ,2
224,they managed to control much of the country for nearly a century before the muslim leader saladin salah ad din defeated them in 1187 ,they controlled the entire country even when saladin failed to attack them in 1187 ,2
225,his grandson akbar chose agra for his capital over delhi ,the choice of agra over delhi came down to one having better food than the other does ,1
226,the information provided in this guide is current as of the date of this publication ,the information in the guide is up to date ,0
227,if anything ultimate fighting is safer and less cruel than america s blood sport ,nothing is a dangerous as ultimate fighting ,2
228,jon saw him ride into the smoke ,he rode towards jon and out of the smoke ,2
229,someone else noticed it and i said well i guess that s true and it was somewhat melodio us in other words it wasn t just you know it was really funny,someone else paid attention to it and it was really funny ,0
230,in a six year study scientists fed dogs and other animals irradiated chicken and found no evidence of increased cancer or other toxic effects ,scientists gave animals irradiated chicken and they all lived as long as the rest of them ,0
231,when jesus was born in about 4 b c joseph and mary escaped herod s paranoia by fleeing into egypt with the new born infant ,jesus birth has been dated to around 10 b c ,2
232,and could it not result in a decline in postal service volumes across the board ,nothing will affect postal service volumes across the board ,2
233,folklore of ibiza,war history of ibiza,2
234,chatterbox queried trudeau about the dallas morning news quote ,trudeau was queried by chatterbox about his quote ,0
235,there are two challengers to these top dogs ,these top dogs face two tough financial challenges ,1
236,ran toward us rather slowly like people finishing their run ,they ran slowly because they were tired from working out a lot ,1
237,i ve been getting a kick out of those lately,i guess they just don t like me ,2
238,you ve got the keys still haven t you poirot i asked as we reached the door of the locked room ,i had the keys in my pocket ,1
239,puppet shows ,productions using puppets,0
240,even today yanomamo men raid villages kill men and abduct women for procreative purposes ,yanomamo eats food ,1
241,it is housed in a martello a series of such towers some 12 m 40 ft high and 2 5 m 8 ft thick were constructed along the coast at the beginning of the 19th century to guard against invasion by napoleon ,a number of these towers which were built to guard against invasion by napoleon were built along the coast in the 19th century ,0
242,um i ve visited the wyoming area i m not sure exactly where dances with wolves was filmed,i ve only visited the area in the spring ,1
243,13 executive effectively implementing the government performance and results act gao ggd 96 118 june 1996 ,the executives didn t implement the government performance and results act,2
244,information computer attacks at department of defense pose increasing risks,the computer attacks on the department of defense are too powerful to handle ,1
245,daniel took it upon himself to explain a few things ,daniel explained what was happening ,0
246,the ile saint louis is an enchanted self contained island of gracious living long popular with the more affluent gentry and celebrities of paris ,the ile saint louis is adored by the poor in paris ,2
247,kentucky officials say there is a virtual epidemic of abusive relationships in the state ,kentucky marriages tend to be the healthiest ,2
248,and uh it that takes so much time away from your kids,takes you away from your kids because it is more important to you ,1
249,even if you re the kind of traveler who likes to improvise and be adventurous don t turn your nose up at the tourist offices ,tourist officers are a good place to visit even if you re an adventurous tourist ,0
250,he walked out into the street and i followed ,i followed him as he walked ,0
251,steps are initiated to allow program board membership to reflect the clienteligible community and include representatives from the funding community corporations and other partners ,there isn t a fair representation of board members on the program ,2
252,also the holy family are said to have sheltered here on their return from egypt ,the holy family spent a total of three days here ,1
253,complacency came easily after a couple of weeks without capture ,we got complacent after not getting captured for weeks ,0
254,in the other sight he saw adrin s hands cocking back a pair of dragon hammered pistols ,he had spotted adrin preparing to fire his pistols ,1
255,there is very little to see here or at the ruined essene monastery of qumran itself ,most visitors skip this city or only stay here a night while passing through ,1
256,enthusiasm for disney s broadway production of the lion king dwindles ,audiences for the lion king on broadway are still turning out in record numbers ,2
257,fixing current levels of damage would be impossible ,the damage could never be fixed by an artisan ,1
258,allow time in thirasia to explore santorini s smaller sibling islands ,allow time in thirasia to visit the famous guy fieri restaurant ,2
259,he had forgotten about adrin ,he had forgotten that adrin was going to join them ,1
260,the entire city was surrounded by open countryside with a scattering of small villages ,the whole countryside is scattered with small villages ,0
261,couple of years ago i was thinking about moving to massachusetts but uh boy i m glad i didn t,i have never considered moving to massachusetts ,2
262,that s what guarantees that people will keep buying tickets as long as the odds are in their favor ,people will continually purchase tickets as long as they have a good chance of winning ,0
263,you will find a number of mary s personal effects on display ,on display you can also find john s personal effects ,1
264,more of a football powerhouse up there i guess,he s terrible at football there ,2
265,yeah yeah if they do come up with a positive regardless of what uh what it was they detected uh we re required to go attend a uh a counseling session,we still have three more weeks of counseling left even if everything seems positive ,1
266,yeah i mean this this escort even when the head gasket went i mean it would start first time every time,once the head gasket went out the escort stopped working ,2
267,as jon looked at him barnam puffed out his chest ,barnam puffed out his chest when jon looked at him ,0
268,possibly but strychnine is a fairly rapid drug in its action ,strychnine is a drug that works very quickly ,0
269,the main attraction of kom ombo is the vibrant color still found on the columns in the hypostyle hall ,the hypostyle hall is the main sight to see at kom ombo featuring striking colors which are preserved with a chemical agent ,1
